portal_id,notice_count,pct_of_corpus,body_len_mean,body_len_median,body_len_p95,title_len_mean,npas_boilerplate_pct,spc_boilerplate_pct,corrigendum_pct,uppercase_title_pct
P094,1426,11.883,4139.0,4126.0,5368.25,80.3,0.0,0.0,18.9,0.0
P002,800,6.667,5819.3,5761.0,7447.349999999999,80.4,100.0,0.0,14.4,0.0
P006,792,6.6,5070.1,5067.5,6662.849999999999,79.8,0.0,100.0,100.0,0.0
P001,778,6.483,5838.8,5847.0,7393.75,80.3,100.0,0.0,13.9,0.0
P003,772,6.433,5008.2,4995.5,6589.4,80.8,0.0,100.0,100.0,0.0
P005,768,6.4,5842.8,5834.5,7430.3,81.0,100.0,0.0,13.7,0.0
P004,755,6.292,4972.7,4919.0,6581.299999999999,81.1,0.0,100.0,100.0,0.0
P020,384,3.2,4183.8,4249.5,5370.45,79.0,0.0,0.0,19.3,0.0
P240,377,3.142,4169.4,4160.0,5246.2,80.8,0.0,0.0,21.2,100.0
P044,224,1.867,4101.8,4054.5,5385.9,81.8,0.0,0.0,25.4,0.0
P215,153,1.275,4142.8,4072.0,5389.400000000001,80.3,0.0,0.0,22.2,0.0
P181,133,1.108,4191.0,4197.0,5290.0,81.3,0.0,0.0,24.8,0.0
P013,110,0.917,1500.0,1500.0,1500.0,79.8,0.0,0.0,0.0,0.0
P227,107,0.892,4108.3,4104.0,5363.499999999999,82.3,0.0,0.0,23.4,0.0
P088,97,0.808,4155.7,4147.0,5176.799999999999,78.9,0.0,0.0,27.8,0.0
P136,91,0.758,4129.6,4113.0,5381.0,80.8,0.0,0.0,24.2,0.0
P189,90,0.75,4158.0,4171.0,5420.95,78.5,0.0,0.0,21.1,0.0
P221,83,0.692,1500.0,1500.0,1500.0,80.5,0.0,0.0,0.0,0.0
P200,79,0.658,4214.6,4238.0,5572.9,79.4,0.0,0.0,24.1,0.0
P232,79,0.658,4207.4,4153.0,5361.0,78.0,0.0,0.0,19.0,0.0
