portal_pair_str,different,same,total
P001-P002,27,7,34
P002-P003,27,3,30
P002-P004,28,2,30
P004-P006,25,2,27
P002-P006,23,4,27
P001-P004,22,4,26
P004-P005,21,2,23
P001-P005,18,4,22
P005-P006,18,3,21
P003-P006,19,1,20
P001-P003,16,3,19
P001-P006,18,1,19
P003-P003,15,0,15
P003-P005,14,1,15
P002-P005,14,1,15
P006-P006,13,0,13
P004-P004,12,0,12
P001-P094,6,5,11
P001-P001,10,0,10
P005-P005,10,0,10
P003-P004,6,2,8
P005-P094,0,6,6
P002-P002,5,0,5
P002-P094,0,5,5
P003-P094,3,1,4
P004-P094,1,3,4
P232-P232,3,0,3
P006-P240,2,1,3
P003-P227,2,1,3
P020-P094,1,2,3
P214-P214,3,0,3
P004-P020,0,3,3
P061-P061,3,0,3
P080-P080,3,0,3
P089-P089,3,0,3
P135-P135,3,0,3
P148-P148,3,0,3
P153-P153,3,0,3
P174-P174,3,0,3
P193-P193,3,0,3
P046-P046,2,0,2
P005-P020,0,2,2
P006-P094,2,0,2
P211-P211,2,0,2
P003-P020,2,0,2
P222-P222,2,0,2
P022-P022,2,0,2
P036-P036,2,0,2
P003-P088,1,1,2
P004-P073,0,2,2
P001-P240,0,2,2
P005-P065,0,2,2
P002-P020,1,1,2
P054-P054,2,0,2
P056-P056,2,0,2
P002-P096,0,2,2
P072-P072,2,0,2
P074-P074,2,0,2
P076-P076,2,0,2
P026-P026,2,0,2
P003-P215,0,2,2
P094-P122,0,2,2
P006-P013,0,2,2
P094-P215,1,1,2
P094-P221,0,2,2
P094-P230,0,2,2
P094-P232,1,1,2
P096-P096,2,0,2
P104-P104,2,0,2
P122-P122,2,0,2
P129-P129,2,0,2
P002-P122,0,2,2
P094-P200,0,2,2
P140-P140,2,0,2
P021-P021,2,0,2
P005-P191,1,1,2
P167-P167,2,0,2
P044-P094,0,2,2
P019-P019,2,0,2
P052-P052,2,0,2
P248-P248,2,0,2
P249-P249,2,0,2
P136-P136,2,0,2
P002-P181,0,1,1
P002-P183,0,1,1
P002-P195,0,1,1
P002-P210,1,0,1
P002-P216,0,1,1
P002-P226,1,0,1
P002-P237,0,1,1
P002-P238,1,0,1
P002-P240,1,0,1
P002-P244,1,0,1
P002-P246,0,1,1
P003-P026,1,0,1
P003-P055,0,1,1
P003-P091,0,1,1
P003-P105,0,1,1
P003-P122,0,1,1
P003-P131,0,1,1
P003-P136,0,1,1
P003-P147,1,0,1
P003-P166,1,0,1
P003-P197,0,1,1
P003-P202,0,1,1
P003-P207,0,1,1
P003-P219,1,0,1
P003-P229,0,1,1
P003-P232,0,1,1
P004-P008,0,1,1
P004-P021,0,1,1
P004-P044,0,1,1
P004-P048,0,1,1
P004-P052,0,1,1
P004-P054,0,1,1
P004-P069,1,0,1
P004-P081,0,1,1
P004-P115,0,1,1
P004-P120,0,1,1
P004-P151,0,1,1
P004-P156,0,1,1
P004-P180,1,0,1
P004-P188,0,1,1
P004-P213,1,0,1
P004-P232,0,1,1
P004-P236,0,1,1
P004-P240,0,1,1
P005-P013,1,0,1
P005-P041,1,0,1
P005-P046,0,1,1
P005-P064,0,1,1
P005-P068,0,1,1
P005-P071,0,1,1
P005-P147,0,1,1
P005-P189,0,1,1
P005-P203,0,1,1
P005-P208,0,1,1
P005-P225,1,0,1
P005-P227,0,1,1
P005-P238,0,1,1
P005-P240,0,1,1
P005-P248,0,1,1
P005-P255,0,1,1
P006-P020,1,0,1
P006-P031,0,1,1
P006-P041,0,1,1
P006-P046,0,1,1
P006-P063,0,1,1
P006-P069,0,1,1
P006-P088,0,1,1
P006-P096,0,1,1
P006-P103,1,0,1
P006-P106,0,1,1
P006-P147,1,0,1
P006-P181,0,1,1
P006-P182,0,1,1
P006-P183,0,1,1
P006-P184,1,0,1
P006-P185,1,0,1
P006-P189,0,1,1
P006-P205,0,1,1
P006-P214,1,0,1
P006-P215,0,1,1
P006-P217,0,1,1
P006-P227,0,1,1
P006-P232,0,1,1
P010-P010,1,0,1
P011-P011,1,0,1
P013-P013,1,0,1
P013-P061,0,1,1
P013-P094,1,0,1
P013-P167,0,1,1
P014-P214,0,1,1
P015-P015,1,0,1
P016-P094,0,1,1
P017-P017,1,0,1
P020-P028,0,1,1
P020-P032,0,1,1
P020-P099,0,1,1
P020-P195,0,1,1
P020-P200,0,1,1
P020-P235,0,1,1
P021-P065,1,0,1
P021-P088,1,0,1
P021-P094,1,0,1
P021-P239,1,0,1
P023-P094,0,1,1
P025-P158,1,0,1
P026-P051,0,1,1
P028-P044,0,1,1
P028-P094,0,1,1
P028-P235,0,1,1
P030-P030,1,0,1
P032-P032,1,0,1
P034-P034,1,0,1
P035-P035,1,0,1
P036-P094,0,1,1
P036-P233,0,1,1
P037-P091,0,1,1
P038-P215,0,1,1
P040-P040,1,0,1
P040-P227,0,1,1
P041-P041,1,0,1
P041-P141,0,1,1
P042-P255,1,0,1
P044-P088,1,0,1
P044-P120,0,1,1
P044-P137,0,1,1
P044-P195,0,1,1
P044-P215,0,1,1
P044-P240,0,1,1
P008-P008,1,0,1
P046-P073,0,1,1
P047-P047,1,0,1
P048-P240,0,1,1
P049-P191,1,0,1
P050-P050,1,0,1
P051-P051,1,0,1
P001-P027,0,1,1
P052-P214,0,1,1
P052-P241,0,1,1
P053-P200,0,1,1
P053-P248,1,0,1
P256-P256,1,0,1
P055-P055,1,0,1
P224-P238,1,0,1
P056-P094,1,0,1
P056-P215,1,0,1
P057-P057,1,0,1
P057-P202,1,0,1
P058-P116,1,0,1
P059-P244,0,1,1
P060-P060,1,0,1
P202-P240,1,0,1
P061-P136,0,1,1
P062-P062,1,0,1
P063-P063,1,0,1
P064-P064,1,0,1
P065-P065,1,0,1
P065-P094,0,1,1
P066-P094,1,0,1
P067-P067,1,0,1
P068-P068,1,0,1
P069-P094,0,1,1
P069-P172,0,1,1
P070-P070,1,0,1
P070-P094,0,1,1
P071-P071,1,0,1
P202-P248,1,0,1
P073-P094,0,1,1
P205-P205,1,0,1
P074-P227,1,0,1
P075-P215,0,1,1
P206-P206,1,0,1
P078-P078,1,0,1
P078-P136,0,1,1
P078-P246,0,1,1
P079-P079,1,0,1
P079-P094,0,1,1
P207-P207,1,0,1
P081-P081,1,0,1
P082-P082,1,0,1
P082-P098,0,1,1
P083-P094,0,1,1
P085-P167,0,1,1
P086-P086,1,0,1
P088-P094,1,0,1
P088-P146,0,1,1
P088-P196,0,1,1
P208-P208,1,0,1
P092-P092,1,0,1
P092-P240,0,1,1
P093-P207,1,0,1
P094-P096,0,1,1
P094-P106,0,1,1
P094-P108,1,0,1
P094-P112,0,1,1
P094-P120,0,1,1
P210-P210,1,0,1
P094-P136,0,1,1
P094-P142,0,1,1
P094-P147,0,1,1
P094-P160,0,1,1
P094-P161,0,1,1
P094-P166,0,1,1
P094-P168,0,1,1
P094-P183,0,1,1
P094-P184,0,1,1
P215-P215,1,0,1
P094-P203,0,1,1
P094-P214,0,1,1
P215-P240,1,0,1
P094-P217,1,0,1
P217-P217,1,0,1
P219-P240,0,1,1
P001-P026,0,1,1
P094-P233,1,0,1
P094-P235,1,0,1
P094-P240,0,1,1
P094-P242,0,1,1
P094-P251,0,1,1
P094-P256,0,1,1
P095-P095,1,0,1
P001-P209,0,1,1
P096-P208,1,0,1
P096-P241,1,0,1
P097-P097,1,0,1
P098-P098,1,0,1
P098-P124,0,1,1
P100-P102,1,0,1
P100-P136,0,1,1
P101-P101,1,0,1
P001-P210,0,1,1
P105-P175,0,1,1
P106-P106,1,0,1
P107-P107,1,0,1
P107-P141,0,1,1
P108-P108,1,0,1
P109-P109,1,0,1
P112-P189,1,0,1
P112-P255,0,1,1
P113-P113,1,0,1
P114-P114,1,0,1
P116-P191,0,1,1
P117-P117,1,0,1
P117-P165,0,1,1
P117-P227,1,0,1
P121-P121,1,0,1
P121-P240,0,1,1
P001-P214,0,1,1
P125-P125,1,0,1
P127-P127,1,0,1
P128-P128,1,0,1
P001-P221,0,1,1
P129-P189,0,1,1
P129-P240,0,1,1
P131-P131,1,0,1
P131-P240,0,1,1
P133-P133,1,0,1
P133-P181,1,0,1
P133-P207,0,1,1
P002-P013,0,1,1
P002-P015,1,0,1
P136-P166,0,1,1
P136-P215,0,1,1
P136-P240,0,1,1
P137-P137,1,0,1
P137-P240,0,1,1
P138-P138,1,0,1
P002-P021,1,0,1
P141-P141,1,0,1
P141-P203,1,0,1
P142-P142,1,0,1
P143-P143,1,0,1
P144-P144,1,0,1
P146-P235,0,1,1
P147-P172,1,0,1
P147-P248,0,1,1
P002-P028,0,1,1
P150-P181,0,1,1
P151-P151,1,0,1
P002-P044,0,1,1
P154-P154,1,0,1
P156-P156,1,0,1
P158-P158,1,0,1
P159-P159,1,0,1
P160-P160,1,0,1
P162-P162,1,0,1
P165-P165,1,0,1
P002-P057,0,1,1
P168-P168,1,0,1
P168-P193,0,1,1
P168-P227,0,1,1
P169-P169,1,0,1
P169-P246,1,0,1
P170-P170,1,0,1
P171-P171,1,0,1
P172-P172,1,0,1
P002-P058,0,1,1
P176-P176,1,0,1
P179-P179,1,0,1
P181-P181,1,0,1
P182-P182,1,0,1
P183-P183,1,0,1
P184-P184,1,0,1
P186-P186,1,0,1
P187-P187,1,0,1
P189-P225,0,1,1
P191-P191,1,0,1
P002-P078,0,1,1
P195-P195,1,0,1
P196-P196,1,0,1
P001-P020,0,1,1
P225-P225,1,0,1
P228-P228,1,0,1
P002-P111,0,1,1
P232-P253,0,1,1
P234-P234,1,0,1
P236-P236,1,0,1
P240-P242,0,1,1
P240-P244,1,0,1
P243-P243,1,0,1
P244-P244,1,0,1
P245-P245,1,0,1
P247-P247,1,0,1
P002-P121,0,1,1
P002-P136,0,1,1
P001-P191,0,1,1
P198-P198,1,0,1
P001-P031,0,1,1
P001-P044,1,0,1
P001-P054,0,1,1
P001-P064,0,1,1
P001-P065,0,1,1
P001-P068,1,0,1
P001-P069,0,1,1
P001-P073,0,1,1
P001-P088,1,0,1
P002-P172,0,1,1
P001-P106,1,0,1
P001-P115,0,1,1
P001-P143,0,1,1
P001-P180,0,1,1
P224-P224,1,0,1
