notice_id,portal_id,candidate_count,retrieval_time_ms
N000001,P136,1226,0.065
N000009,P011,63,0.021
N000017,P238,1913,0.056
N000025,P111,1307,0.051
N000033,P088,148,0.022
N000041,P044,783,0.037
N000049,P003,1183,0.072
N000057,P195,2387,0.103
N000065,P003,1569,0.07
N000073,P001,2424,0.134
N000081,P053,1416,0.055
N000089,P002,2184,0.089
N000097,P006,914,0.055
N000105,P002,1797,0.068
N000113,P228,626,0.036
N000121,P042,1928,0.053
N000129,P005,2398,0.144
N000137,P003,1604,0.068
N000145,P002,1679,0.075
N000153,P002,2271,0.126
N000161,P002,2264,0.105
N000169,P004,1524,0.06
N000177,P003,1605,0.065
N000185,P081,1897,0.046
N000193,P003,1591,0.063
N000201,P211,1297,0.057
N000209,P004,1419,0.059
N000217,P001,2244,0.101
N000225,P014,3056,0.094
N000233,P094,1895,0.056
N000241,P006,1239,0.061
N000249,P248,920,0.031
N000257,P207,2397,0.063
N000265,P172,2787,0.098
N000273,P232,2073,0.066
N000281,P215,328,0.027
N000289,P071,1462,0.034
N000297,P004,1867,0.085
N000305,P094,902,0.038
N000313,P004,1884,0.083
N000321,P006,1309,0.064
N000329,P001,1288,0.057
N000337,P005,2342,0.106
N000345,P226,2052,0.069
N000353,P005,1844,0.077
N000361,P142,62,0.02
N000369,P094,1548,0.033
N000377,P003,1232,0.076
N000385,P094,1049,0.04
N000393,P020,781,0.03
N000401,P094,1169,0.038
N000409,P006,1798,0.081
N000417,P136,792,0.039
N000425,P002,2022,0.068
N000433,P192,697,0.042
N000441,P086,295,0.019
N000449,P187,893,0.034
N000457,P006,932,0.05
N000465,P183,2276,0.076
N000473,P005,1852,0.104
N000481,P042,272,0.03
N000489,P114,159,0.013
N000497,P006,848,0.036
N000505,P240,1660,0.047
N000513,P087,2236,0.077
N000521,P094,1408,0.045
N000529,P146,1090,0.044
N000537,P013,146,0.016
N000545,P006,491,0.022
N000553,P214,1190,0.044
N000561,P002,1355,0.053
N000569,P003,734,0.046
N000577,P046,130,0.015
N000585,P004,791,0.037
N000593,P002,2242,0.098
N000601,P002,2351,0.146
N000609,P061,968,0.048
N000617,P001,2052,0.095
N000625,P001,2097,0.092
N000633,P004,849,0.046
N000641,P096,503,0.022
N000649,P003,861,0.034
N000657,P094,2848,0.08
N000665,P246,1071,0.039
N000673,P001,2186,0.085
N000681,P094,1703,0.065
N000689,P002,2264,0.101
N000697,P001,2122,0.101
N000705,P004,1479,0.061
N000713,P239,2230,0.06
N000721,P005,2195,0.078
N000729,P020,1159,0.049
N000737,P208,2996,0.078
N000745,P121,766,0.045
N000753,P094,1148,0.033
N000761,P094,2133,0.05
N000769,P001,2070,0.096
N000777,P127,889,0.043
N000785,P129,2453,0.067
N000793,P094,550,0.037
N000801,P091,653,0.028
N000809,P064,788,0.03
N000817,P003,1252,0.034
N000825,P240,373,0.023
N000833,P136,2193,0.047
N000841,P005,2328,0.131
N000849,P221,123,0.024
N000857,P240,2428,0.058
N000865,P006,1826,0.085
N000873,P004,1771,0.08
N000881,P231,198,0.022
N000889,P001,2283,0.086
N000897,P001,2047,0.105
N000905,P001,2269,0.117
N000913,P094,2190,0.059
N000921,P001,2214,0.098
N000929,P003,645,0.036
N000937,P094,341,0.017
N000945,P002,2173,0.072
N000953,P240,2512,0.078
N000961,P004,1536,0.067
N000969,P094,358,0.027
N000977,P002,2219,0.086
N000985,P006,1690,0.077
N000993,P129,1446,0.054
N001001,P001,2173,0.089
N001009,P183,1181,0.045
N001017,P094,2036,0.047
N001025,P005,2264,0.113
N001033,P136,1038,0.043
N001041,P094,1456,0.048
N001049,P004,1485,0.044
N001057,P002,2507,0.11
N001065,P103,2016,0.056
N001073,P020,2071,0.054
N001081,P010,1416,0.045
N001089,P168,2953,0.081
N001097,P240,468,0.037
N001105,P002,2118,0.067
N001113,P020,2424,0.069
N001121,P020,1368,0.055
N001129,P046,98,0.017
N001137,P225,424,0.014
N001145,P002,2301,0.103
N001153,P001,2178,0.097
N001161,P006,2004,0.106
N001169,P002,2290,0.1
N001177,P094,1981,0.054
N001185,P006,672,0.04
N001193,P020,2360,0.053
N001201,P005,2077,0.096
N001209,P136,2082,0.063
N001217,P057,734,0.033
N001225,P236,2631,0.057
N001233,P094,896,0.041
N001241,P020,1472,0.046
N001249,P094,630,0.03
N001257,P002,2137,0.09
N001265,P211,622,0.037
N001273,P116,572,0.024
N001281,P094,2096,0.043
N001289,P005,2226,0.112
N001297,P005,2280,0.09
N001305,P166,624,0.041
N001313,P233,90,0.012
N001321,P006,792,0.029
N001329,P006,276,0.018
N001337,P181,1780,0.055
N001345,P003,1080,0.051
N001353,P094,2119,0.058
N001361,P020,1074,0.036
N001369,P003,1559,0.049
N001377,P229,1793,0.056
N001385,P240,1435,0.054
N001393,P094,779,0.031
N001401,P184,92,0.012
N001409,P189,1061,0.024
N001417,P003,630,0.03
N001425,P102,1983,0.041
N001433,P004,1466,0.068
N001441,P094,2008,0.061
N001449,P046,233,0.023
N001457,P071,1332,0.04
N001465,P144,1601,0.053
N001473,P001,2220,0.096
N001481,P004,1231,0.061
N001489,P094,2981,0.079
N001497,P003,1554,0.076
N001505,P260,2397,0.065
N001513,P147,148,0.023
N001521,P005,2145,0.089
N001529,P172,1316,0.057
N001537,P097,1005,0.034
N001545,P094,2036,0.044
N001553,P091,3156,0.097
N001561,P005,1989,0.07
N001569,P120,1882,0.052
N001577,P002,2264,0.115
N001585,P138,207,0.025
N001593,P005,2221,0.091
N001601,P002,2013,0.067
N001609,P194,2053,0.068
N001617,P120,2069,0.05
N001625,P209,61,0.017
N001633,P221,1946,0.034
N001641,P094,553,0.028
N001649,P094,1558,0.037
N001657,P129,2837,0.078
N001665,P002,2168,0.107
N001673,P003,1427,0.067
N001681,P003,1319,0.058
N001689,P094,1136,0.04
N001697,P001,2163,0.081
N001705,P020,776,0.042
N001713,P240,1811,0.045
N001721,P001,2372,0.093
N001729,P002,2227,0.105
N001737,P003,1085,0.055
N001745,P005,732,0.034
N001753,P242,1535,0.052
N001761,P168,2078,0.05
N001769,P005,2321,0.129
N001777,P006,1025,0.055
N001785,P003,1724,0.072
N001793,P005,2281,0.113
N001801,P006,1344,0.067
N001809,P026,724,0.027
N001817,P001,2286,0.082
N001825,P006,1690,0.086
N001833,P003,1448,0.05
N001841,P004,1028,0.043
N001849,P094,978,0.029
N001857,P001,2095,0.086
N001865,P214,692,0.035
N001873,P094,1509,0.049
N001881,P240,776,0.035
N001889,P001,2410,0.123
N001897,P003,1972,0.091
N001905,P001,2293,0.102
N001913,P012,374,0.027
N001921,P215,1856,0.041
N001929,P006,1153,0.044
N001937,P002,1971,0.062
N001945,P071,1575,0.056
N001953,P004,1314,0.057
N001961,P005,2142,0.086
N001969,P094,1899,0.05
N001977,P002,2398,0.122
N001985,P094,1188,0.047
N001993,P094,507,0.026
N002001,P004,1194,0.049
N002009,P002,2486,0.117
N002017,P004,1963,0.1
N002025,P006,1380,0.046
N002033,P020,1192,0.048
N002041,P215,735,0.031
N002049,P086,2124,0.047
N002057,P003,1792,0.079
N002065,P004,760,0.043
N002073,P203,1993,0.042
N002081,P044,408,0.024
N002089,P228,922,0.031
N002097,P001,2227,0.1
N002105,P006,990,0.048
N002113,P122,2508,0.087
N002121,P020,2660,0.071
N002129,P094,1976,0.055
N002137,P094,934,0.033
N002145,P001,2234,0.089
N002153,P002,2157,0.077
N002161,P259,2056,0.054
N002169,P159,2387,0.08
N002177,P005,2126,0.083
N002185,P211,3232,0.11
N002193,P094,1346,0.055
N002201,P061,614,0.028
N002209,P094,840,0.029
N002217,P006,697,0.035
N002225,P136,918,0.031
N002233,P001,1978,0.063
N002241,P241,1363,0.05
N002249,P020,208,0.018
N002257,P004,1216,0.047
N002265,P214,1792,0.061
N002273,P028,303,0.022
N002281,P227,564,0.017
N002289,P004,778,0.031
N002297,P001,2241,0.088
N002305,P002,2170,0.098
N002313,P002,2286,0.115
N002321,P246,1451,0.057
N002329,P094,592,0.033
N002337,P006,2120,0.079
N002345,P002,1955,0.087
N002353,P001,2194,0.095
N002361,P002,2150,0.084
N002369,P222,1375,0.052
N002377,P215,2305,0.055
N002385,P112,2158,0.057
N002393,P013,169,0.02
N002401,P089,765,0.022
N002409,P002,2339,0.093
N002417,P089,1716,0.049
N002425,P094,2204,0.053
N002433,P005,2117,0.087
N002441,P006,1647,0.069
N002449,P025,264,0.022
N002457,P235,1315,0.033
N002465,P229,1927,0.061
N002473,P004,1001,0.043
N002481,P181,1103,0.03
N002489,P200,682,0.028
N002497,P005,2172,0.077
N002505,P032,1439,0.056
N002513,P005,2187,0.079
N002521,P004,1487,0.06
N002529,P005,2084,0.081
N002537,P024,2226,0.063
N002545,P005,2180,0.113
N002553,P113,591,0.035
N002561,P002,2235,0.103
N002569,P148,1282,0.087
N002577,P180,819,0.038
N002585,P250,2201,0.064
N002593,P004,1074,0.061
N002601,P243,1707,0.072
N002609,P002,2224,0.104
N002617,P101,2874,0.094
N002625,P002,2272,0.122
N002633,P240,558,0.036
N002641,P094,1227,0.028
N002649,P003,1772,0.071
N002657,P003,1583,0.065
N002665,P001,2372,0.115
N002673,P003,1848,0.089
N002681,P094,2168,0.055
N002689,P003,1560,0.064
N002697,P094,2098,0.051
N002705,P058,1817,0.046
N002713,P061,1395,0.049
N002721,P003,1101,0.05
N002729,P236,463,0.022
N002737,P006,1793,0.07
N002745,P004,1557,0.065
N002753,P107,104,0.017
N002761,P001,2364,0.084
N002769,P199,2144,0.058
N002777,P219,704,0.028
N002785,P094,2070,0.06
N002793,P004,787,0.043
N002801,P122,2710,0.061
N002809,P120,2434,0.079
N002817,P002,2181,0.102
N002825,P167,1810,0.061
N002833,P120,358,0.021
N002841,P002,2255,0.1
N002849,P020,2425,0.073
N002857,P004,954,0.052
N002865,P004,1546,0.054
N002873,P175,1119,0.031
N002881,P016,101,0.016
N002889,P094,2706,0.067
N002897,P227,297,0.035
N002905,P073,803,0.025
N002913,P181,2949,0.067
N002921,P002,2284,0.137
N002929,P088,455,0.033
N002937,P017,2390,0.055
N002945,P001,2179,0.094
N002953,P029,1255,0.054
N002961,P234,627,0.031
N002969,P183,2871,0.078
N002977,P094,1418,0.045
N002985,P140,1958,0.046
N002993,P018,1340,0.045
N003001,P003,1536,0.054
N003009,P189,1147,0.04
N003017,P106,757,0.025
N003025,P094,2258,0.049
N003033,P073,1416,0.044
N003041,P181,1238,0.031
N003049,P217,897,0.036
N003057,P183,1055,0.029
N003065,P240,1001,0.032
N003073,P002,2238,0.103
N003081,P115,442,0.031
N003089,P203,976,0.024
N003097,P094,790,0.027
N003105,P094,674,0.03
N003113,P063,3052,0.072
N003121,P004,718,0.046
N003129,P240,1176,0.034
N003137,P005,2351,0.13
N003145,P177,1225,0.054
N003153,P215,1319,0.036
N003161,P002,1553,0.06
N003169,P002,2306,0.106
N003177,P228,2706,0.077
N003185,P215,1501,0.055
N003193,P004,1415,0.062
N003201,P002,2019,0.06
N003209,P215,3072,0.089
N003217,P049,2257,0.071
N003225,P200,2017,0.051
N003233,P006,1572,0.071
N003241,P247,1094,0.039
N003249,P006,1494,0.058
N003257,P003,1160,0.045
N003265,P117,139,0.016
N003273,P020,1094,0.028
N003281,P112,486,0.019
N003289,P003,1054,0.038
N003297,P004,1391,0.046
N003305,P006,912,0.044
N003313,P005,2220,0.098
N003321,P088,580,0.036
N003329,P075,945,0.029
